time;reference;observation
 25.159121;4000.000000;4021.000000
 25.164125;4000.000000;4024.000000
 25.169125;4000.000000;4032.000000
 25.174126;4000.000000;4021.000000
 25.179123;4000.000000;4012.000000
 25.184124;4000.000000;4026.000000
 25.189121;4000.000000;4012.000000
 25.194122;4000.000000;4026.000000
 25.199123;4000.000000;4028.000000
 25.204124;4000.000000;4013.000000
 25.209126;4000.000000;4022.000000
 25.214121;4000.000000;4020.000000
 25.219118;4000.000000;4023.000000
 25.224125;4000.000000;4020.000000
 25.229124;4000.000000;4024.000000
 25.234121;4000.000000;4018.000000
 25.239120;4000.000000;4011.000000
 25.244122;4000.000000;4028.000000
 25.249125;4000.000000;4012.000000
 25.254126;4000.000000;4010.000000
 25.259123;4000.000000;4022.000000
 25.264122;4000.000000;4014.000000
 25.269121;4000.000000;4010.000000
 25.274124;4000.000000;4030.000000
 25.279121;4000.000000;4012.000000
 25.284122;3500.000000;4009.000000
 25.289122;3500.000000;3965.000000
 25.294125;3500.000000;3855.000000
 25.299124;3500.000000;3724.000000
 25.304125;3500.000000;3629.000000
 25.309122;3500.000000;3544.000000
 25.314123;3500.000000;3514.000000
 25.319118;3500.000000;3486.000000
 25.324125;3500.000000;3474.000000
 25.329121;3500.000000;3471.000000
 25.334131;3500.000000;3472.000000
 25.339123;3500.000000;3470.000000
 25.344122;3500.000000;3470.000000
 25.349117;3500.000000;3472.000000
 25.354124;3500.000000;3471.000000
 25.359118;3500.000000;3471.000000
 25.364122;3500.000000;3473.000000
 25.369118;3500.000000;3472.000000
 25.374119;3500.000000;3471.000000
 25.379124;3500.000000;3485.000000
 25.384121;3500.000000;3474.000000
 25.389118;3500.000000;3472.000000
 25.394119;3500.000000;3480.000000
 25.399118;3500.000000;3473.000000
 25.404121;3500.000000;3483.000000
 25.409121;3500.000000;3482.000000
 25.414120;3500.000000;3473.000000
 25.419119;3500.000000;3485.000000
 25.424120;3500.000000;3475.000000
 25.429127;3500.000000;3494.000000
 25.434118;3500.000000;3477.000000
 25.439119;3500.000000;3491.000000
 25.444120;3500.000000;3479.000000
 25.449118;3500.000000;3494.000000
 25.454123;3500.000000;3478.000000
 25.459120;3500.000000;3490.000000
 25.464125;3500.000000;3479.000000
 25.469118;3500.000000;3496.000000
 25.474119;3500.000000;3477.000000
 25.479122;3500.000000;3484.000000
 25.484119;3500.000000;3484.000000
 25.489119;3500.000000;3482.000000
 25.494120;3500.000000;3493.000000
 25.499119;3500.000000;3489.000000
 25.504122;3500.000000;3480.000000
 25.509119;3500.000000;3497.000000
 25.514120;3500.000000;3494.000000
 25.519117;3500.000000;3481.000000
 25.524120;3500.000000;3491.000000
 25.529123;3500.000000;3497.000000
 25.534119;3500.000000;3478.000000
 25.539118;3500.000000;3491.000000
 25.544119;3500.000000;3489.000000
 25.549120;3500.000000;3498.000000
 25.554123;3500.000000;3478.000000
 25.559120;3500.000000;3491.000000
 25.564121;3500.000000;3489.000000
 25.569118;3500.000000;3499.000000
 25.574120;3500.000000;3496.000000
 25.579119;3500.000000;3490.000000
 25.584120;3500.000000;3485.000000
 25.589119;3500.000000;3499.000000
 25.594118;3500.000000;3495.000000
 25.599117;3500.000000;3491.000000
 25.604120;3500.000000;3484.000000
 25.609119;3500.000000;3484.000000
 25.614120;3500.000000;3487.000000
 25.619122;3500.000000;3492.000000
 25.624119;3500.000000;3498.000000
 25.629553;3500.000000;3501.000000
 25.634123;3500.000000;3496.000000
